day,flagged,unplanned,chronic_today,mean_health,pct_fleet_health_lt_50
60,14,28,0,66.6,32.56
61,14,12,0,66.57,32.52
62,16,13,0,66.46,32.73
63,16,15,0,66.37,32.8
64,18,16,0,66.29,32.88
65,18,15,0,66.21,32.94
66,20,16,0,66.12,33.05
67,18,13,0,66.0,33.2
68,14,13,0,65.93,33.35
69,13,23,0,65.83,33.4
70,20,15,0,65.77,33.49
71,22,14,0,65.67,33.58
72,18,20,0,65.58,33.55
73,26,20,0,65.53,33.62
74,12,16,0,65.53,33.6
75,11,14,0,65.41,33.78
76,17,14,0,65.24,34.05
77,27,15,0,65.13,34.25
78,24,18,0,65.12,34.23
79,17,16,0,65.07,34.32
80,17,15,0,64.98,34.39
81,17,12,0,64.88,34.49
82,19,17,0,64.79,34.53
83,18,16,0,64.72,34.71
84,19,21,0,64.64,34.68
85,20,15,0,64.58,34.79
86,19,9,0,64.51,34.8
87,10,26,0,64.42,34.88
88,19,16,0,64.29,35.1
89,19,16,0,64.17,35.17
90,21,14,0,64.11,35.2
91,30,16,0,64.04,35.21
92,18,16,0,64.06,35.37
93,23,20,0,64.01,35.48
94,19,15,0,63.99,35.42
95,20,25,0,63.89,35.46
96,21,22,0,63.89,35.54
97,19,16,0,63.84,35.55
98,16,21,0,63.74,35.67
99,20,18,0,63.66,35.83
100,23,18,0,63.58,35.87
101,25,23,0,63.52,35.92
102,19,13,0,63.49,36.06
103,21,21,0,63.39,36.13
104,17,14,0,63.34,36.08
105,12,17,0,63.25,36.11
106,23,14,0,63.13,36.25
107,21,14,0,63.08,36.35
108,22,15,0,63.0,36.53
109,35,15,0,62.95,36.63
110,21,13,0,62.97,36.55
111,21,18,0,62.89,36.59
112,34,20,0,62.84,36.74
113,31,13,0,62.86,36.66
114,25,14,0,62.87,36.7
115,26,26,0,62.8,36.83
116,24,22,0,62.83,36.81
117,13,16,0,62.8,36.85
118,20,14,0,62.69,36.87
119,21,16,0,62.58,36.97
120,18,13,0,62.49,36.99
121,20,11,0,62.42,37.09
122,22,17,0,62.34,37.14
123,21,11,0,62.3,37.19
124,17,12,0,62.25,37.23
125,26,20,0,62.12,37.44
126,30,16,0,62.07,37.43
127,20,11,0,62.07,37.39
128,21,18,0,62.01,37.52
129,28,18,0,61.97,37.53
130,32,15,0,61.95,37.61
131,31,16,0,61.96,37.55
132,32,13,0,61.94,37.47
133,13,16,0,61.95,37.47
134,22,16,0,61.84,37.48
135,31,11,0,61.76,37.59
136,31,19,0,61.75,37.69
137,27,21,0,61.77,37.75
138,23,14,0,61.75,37.83
139,25,22,0,61.67,38.07
140,22,15,0,61.63,38.2
141,25,8,0,61.56,38.23
142,37,18,0,61.48,38.28
143,19,24,0,61.56,38.13
144,24,12,0,61.48,38.21
145,27,16,0,61.42,38.12
146,32,14,0,61.4,38.24
147,29,13,0,61.4,38.26
148,28,21,0,61.36,38.32
149,21,15,0,61.35,38.32
150,32,19,0,61.26,38.46
151,31,10,0,61.3,38.25
152,31,12,0,61.29,38.33
153,32,16,0,61.28,38.39
154,28,21,0,61.25,38.48
155,12,20,0,61.26,38.4
156,24,10,0,61.15,38.43
157,32,16,0,61.07,38.58
158,29,13,0,61.08,38.61
159,27,9,0,61.07,38.55
160,19,17,0,61.02,38.6
161,33,18,0,60.94,38.76
162,26,17,0,60.94,38.88
163,31,17,0,60.92,38.88
164,32,12,0,60.94,38.99
165,24,13,0,60.94,38.97
166,37,12,0,60.89,39.01
167,27,26,0,60.94,38.97
168,30,23,0,60.91,38.99
169,18,12,0,60.92,38.95
170,34,12,0,60.84,39.04
171,17,17,0,60.83,39.04
172,31,22,0,60.73,39.13
173,37,19,0,60.72,39.26
174,33,18,0,60.79,39.22
175,29,10,0,60.79,39.2
176,18,11,0,60.78,39.22
177,19,15,0,60.72,39.31
178,29,18,0,60.62,39.43
179,27,8,0,60.62,39.41
