threshold,precision,recall,avg_robots_down,pool_size,shortfall_prob,fp_cost_180d,fn_cost_180d,pool_cost_180d,chronic_cost_180d,total_cost_180d
39.0,0.15875446656457376,0.9174041297935103,40.16,70,7e-06,148320000,3443831,504000,1061600,153329431
40.0,0.1548804780876494,0.9174041297935103,41.2,71,9e-06,152730000,3339702,511200,1140800,157721702
41.0,0.14949688548155246,0.9203539823008849,42.92,73,1e-05,159750000,3402277,525600,1164000,164841877
42.0,0.14620431115276475,0.9203539823008849,43.96,75,7e-06,163980000,3384135,540000,1195200,169099335
43.0,0.14279176201372998,0.9203539823008849,45.07,76,1e-05,168570000,3352780,547200,1225600,173695580
44.0,0.13985701519213584,0.9233038348082596,46.19,78,7e-06,173250000,3367358,561600,1289600,178468558
45.0,0.1375219683655536,0.9233038348082596,47.05,79,8e-06,176670000,3318499,568800,1328000,181885299
46.0,0.13476394849785409,0.9262536873156342,48.2,80,1e-05,181440000,3281311,576000,1360800,186658111
47.0,0.13110647181628393,0.9262536873156342,49.63,82,9e-06,187290000,3268337,590400,1408000,192556737
48.0,0.1281109751121991,0.9262536873156342,50.83,84,8e-06,192330000,3226431,604800,1447200,197608431
49.0,0.12665330661322646,0.9321533923303835,51.77,85,8e-06,196110000,3214171,612000,1480000,201416171
50.0,0.12411626080125687,0.9321533923303835,52.9,86,1.1e-05,200700000,3250554,619200,1527200,206096954
51.0,0.121960632960247,0.9321533923303835,53.88,87,1.2e-05,204750000,3222588,626400,1575200,210174188
52.0,0.11986430456087448,0.9380530973451328,55.22,89,1.1e-05,210150000,3239951,640800,1624800,215655551
53.0,0.11825572801182557,0.943952802359882,56.32,90,1.3e-05,214740000,3183101,648000,1659200,220230301
54.0,0.11580086580086581,0.9469026548672567,57.75,92,1.2e-05,220590000,3160477,662400,1720800,226133677
55.0,0.11314769122312301,0.9469026548672567,59.18,94,1.1e-05,226440000,3154608,676800,1769600,232041008
56.0,0.11042311661506708,0.9469026548672567,60.66,96,1.1e-05,232740000,3079932,691200,1816000,238327132
57.0,0.10793544048419637,0.9469026548672567,62.14,98,1e-05,238770000,3080687,705600,1886400,244442687
58.0,0.10583580613254204,0.9469026548672567,63.41,99,1.3e-05,244080000,3064123,712800,1948000,249804923
59.0,0.10405186385737439,0.9469026548672567,64.55,101,1e-05,248760000,3072022,727200,1992800,254552022
60.0,0.10180780209324453,0.9469026548672567,66.07,103,1e-05,254880000,3047440,741600,2066400,260735440
61.0,0.10081148564294631,0.9528023598820059,67.2,104,1.2e-05,259290000,3000563,748800,2096000,265135363
62.0,0.09966164257151645,0.9557522123893806,68.24,105,1.4e-05,263430000,3013458,756000,2152000,269351458
63.0,0.09821698398307646,0.9587020648967551,69.46,107,1.1e-05,268560000,2976809,770400,2196000,274503209
64.0,0.09587020648967552,0.9587020648967551,71.21,109,1.2e-05,275850000,2960048,784800,2276000,281870848
65.0,0.09401214926236622,0.9587020648967551,72.63,111,1.1e-05,281880000,2895284,799200,2335200,287909684
66.0,0.09263995453253765,0.9616519174041298,73.97,112,1.5e-05,287370000,2889535,806400,2406400,293472335
67.0,0.09088382434685936,0.9646017699115044,75.67,114,1.6e-05,294390000,2916137,820800,2504800,300631737
68.0,0.08981049162318044,0.9646017699115044,76.65,116,1.1e-05,298260000,2868165,835200,2560800,304524165
69.0,0.08872058425750609,0.967551622418879,77.84,117,1.4e-05,303210000,2901533,842400,2628000,309581933
70.0,0.08753315649867374,0.9734513274336283,79.39,119,1.3e-05,309600000,2840565,856800,2706400,316003765
71.0,0.08625196027182436,0.9734513274336283,80.59,120,1.6e-05,314640000,2862371,864000,2775200,321141571
72.0,0.08502440277421013,0.976401179941003,82.05,122,1.5e-05,320580000,2836576,878400,2856000,327150976
73.0,0.08366935483870967,0.9793510324483776,83.65,124,1.5e-05,327240000,2809160,892800,2914400,333856360
74.0,0.08189442525900345,0.9793510324483776,85.52,126,1.7e-05,334980000,2803953,907200,3025600,341716753
75.0,0.08054342552159147,0.9793510324483776,86.99,128,1.5e-05,341100000,2824992,921600,3086400,347932992
76.0,0.0794638583054093,0.9793510324483776,88.2,130,1.2e-05,346140000,2743034,936000,3155200,352974234
77.0,0.0779159821638113,0.9793510324483776,90.01,132,1.3e-05,353610000,2764024,950400,3257600,360582024
78.0,0.07663896583564174,0.9793510324483776,91.54,134,1.3e-05,360000000,2764675,964800,3337600,367067075
79.0,0.07519818799546998,0.9793510324483776,93.36,136,1.4e-05,367470000,2755473,979200,3448800,374653473
80.0,0.07327300816596778,0.9793510324483776,95.84,139,1.4e-05,377910000,2749592,1000800,3614400,385274792
81.0,0.07189259419662192,0.9793510324483776,97.73,141,1.6e-05,385740000,2713862,1015200,3721600,393190662
82.0,0.0707436607713616,0.9793510324483776,99.39,143,1.6e-05,392490000,2709401,1029600,3828800,400057801
83.0,0.0697332493173703,0.9793510324483776,100.87,145,1.5e-05,398610000,2691357,1044000,3907200,406252557
84.0,0.06795918367346938,0.9823008849557522,103.85,148,1.8e-05,411030000,2678981,1065600,4155200,418929781
85.0,0.06704134885588117,0.9852507374631269,105.62,150,1.9e-05,418320000,2651305,1080000,4311200,426362505
86.0,0.06602095275746195,0.9852507374631269,107.32,152,1.9e-05,425250000,2631974,1094400,4418400,433394774
87.0,0.06474681097796675,0.9882005899705014,109.85,155,2e-05,435510000,2639762,1116000,4653600,443919362
88.0,0.06341094075335983,0.9882005899705014,112.2,158,1.8e-05,445320000,2639749,1137600,4828000,453925349
89.0,0.06222139673105498,0.9882005899705014,114.42,161,1.6e-05,454410000,2640294,1159200,4990400,463199894
90.0,0.06095791001451379,0.9911504424778761,117.19,164,1.8e-05,465840000,2640925,1180800,5242400,474904125
91.0,0.05983971504897596,0.9911504424778761,119.51,167,1.7e-05,475110000,2651380,1202400,5456000,484419780
92.0,0.05889570552147239,0.9911504424778761,121.5,169,1.9e-05,483210000,2666032,1216800,5632800,492725632
93.0,0.05798101811906816,0.9911504424778761,123.51,172,1.5e-05,491310000,2652778,1238400,5844800,501045978
94.0,0.056375838926174496,0.9911504424778761,127.15,176,1.7e-05,506160000,2666934,1267200,6243200,516337334
95.0,0.05536332179930796,0.9911504424778761,129.6,179,1.6e-05,515970000,2676847,1288800,6524000,526459647
96.0,0.054097568829496054,0.9911504424778761,132.72,182,2.1e-05,528750000,2672718,1310400,6855200,539588318
97.0,0.05304704767919166,0.9911504424778761,135.45,186,1.6e-05,539820000,2670242,1339200,7210400,551039842
98.0,0.05180388529139685,0.9911504424778761,138.84,189,2.2e-05,553500000,2660627,1360800,7582400,565103827
99.0,0.050878255602665054,0.9911504424778761,141.54,193,1.7e-05,564120000,2657624,1389600,7914400,576081624
