threshold,TP,FP,FN,TN,recall,precision,avg_robots_down,pool_size,fp_cost,fn_cost,pool_cost,total_cost
27,303,1100,36,8561,0.8938,0.216,58.2,71,550000,9000000,7100,9557100
28,306,1134,33,8527,0.9027,0.2125,58.9,72,567000,8250000,7200,8824200
29,306,1171,33,8490,0.9027,0.2072,59.7,73,585500,8250000,7300,8842800
30,307,1210,32,8451,0.9056,0.2024,60.5,74,605000,8000000,7400,8612400
31,307,1278,32,8383,0.9056,0.1937,61.9,75,639000,8000000,7500,8646500
32,307,1317,32,8344,0.9056,0.189,62.8,76,658500,8000000,7600,8666100
33,308,1355,31,8306,0.9086,0.1852,63.5,77,677500,7750000,7700,8435200
34,308,1420,31,8241,0.9086,0.1782,64.9,78,710000,7750000,7800,8467800
35,308,1455,31,8206,0.9086,0.1747,65.6,79,727500,7750000,7900,8485400
36,309,1495,30,8166,0.9115,0.1713,66.5,80,747500,7500000,8000,8255500
37,309,1555,30,8106,0.9115,0.1658,67.7,82,777500,7500000,8200,8285700
38,311,1594,28,8067,0.9174,0.1633,68.5,82,797000,7000000,8200,7805200
39,311,1648,28,8013,0.9174,0.1588,69.6,84,824000,7000000,8400,7832400
40,311,1697,28,7964,0.9174,0.1549,70.7,85,848500,7000000,8500,7857000
41,312,1775,27,7886,0.9204,0.1495,72.3,87,887500,6750000,8700,7646200
42,312,1822,27,7839,0.9204,0.1462,73.3,88,911000,6750000,8800,7669800
43,312,1873,27,7788,0.9204,0.1428,74.3,89,936500,6750000,8900,7695400
44,313,1925,26,7736,0.9233,0.1399,75.4,90,962500,6500000,9000,7471500
45,313,1963,26,7698,0.9233,0.1375,76.2,91,981500,6500000,9100,7490600
46,314,2016,25,7645,0.9263,0.1348,77.3,92,1008000,6250000,9200,7267200
47,314,2081,25,7580,0.9263,0.1311,78.7,94,1040500,6250000,9400,7299900
48,314,2137,25,7524,0.9263,0.1281,79.8,95,1068500,6250000,9500,7328000
49,316,2179,23,7482,0.9322,0.1267,80.7,96,1089500,5750000,9600,6849100
50,316,2230,23,7431,0.9322,0.1241,81.8,97,1115000,5750000,9700,6874700
51,316,2275,23,7386,0.9322,0.122,82.7,98,1137500,5750000,9800,6897300
52,318,2335,21,7326,0.9381,0.1199,84.0,99,1167500,5250000,9900,6427400
53,320,2386,19,7275,0.944,0.1183,85.0,100,1193000,4750000,10000,5953000
54,321,2451,18,7210,0.9469,0.1158,86.4,102,1225500,4500000,10200,5735700
55,321,2516,18,7145,0.9469,0.1131,87.7,103,1258000,4500000,10300,5768300
56,321,2586,18,7075,0.9469,0.1104,89.2,105,1293000,4500000,10500,5803500
57,321,2653,18,7008,0.9469,0.1079,90.6,107,1326500,4500000,10700,5837200
58,321,2712,18,6949,0.9469,0.1058,91.8,108,1356000,4500000,10800,5866800
59,321,2764,18,6897,0.9469,0.1041,92.9,109,1382000,4500000,10900,5892900
60,321,2832,18,6829,0.9469,0.1018,94.3,111,1416000,4500000,11100,5927100
61,323,2881,16,6780,0.9528,0.1008,95.3,112,1440500,4000000,11200,5451700
62,324,2927,15,6734,0.9558,0.0997,96.3,113,1463500,3750000,11300,5224800
63,325,2984,14,6677,0.9587,0.0982,97.5,114,1492000,3500000,11400,5003400
64,325,3065,14,6596,0.9587,0.0959,99.2,116,1532500,3500000,11600,5044100
65,325,3132,14,6529,0.9587,0.094,100.6,117,1566000,3500000,11700,5077700
66,326,3193,13,6468,0.9617,0.0926,101.8,119,1596500,3250000,11900,4858400
67,327,3271,12,6390,0.9646,0.0909,103.5,120,1635500,3000000,12000,4647500
68,327,3314,12,6347,0.9646,0.0898,104.4,121,1657000,3000000,12100,4669100
69,328,3369,11,6292,0.9676,0.0887,105.5,123,1684500,2750000,12300,4446800
70,330,3440,9,6221,0.9735,0.0875,107.0,124,1720000,2250000,12400,3982400
71,330,3496,9,6165,0.9735,0.0863,108.1,126,1748000,2250000,12600,4010600
72,331,3562,8,6099,0.9764,0.085,109.5,127,1781000,2000000,12700,3793700
73,332,3636,7,6025,0.9794,0.0837,111.1,129,1818000,1750000,12900,3580900
74,332,3722,7,5939,0.9794,0.0819,112.9,131,1861000,1750000,13100,3624100
75,332,3790,7,5871,0.9794,0.0805,114.3,132,1895000,1750000,13200,3658200
76,332,3846,7,5815,0.9794,0.0795,115.4,133,1923000,1750000,13300,3686300
77,332,3929,7,5732,0.9794,0.0779,117.2,135,1964500,1750000,13500,3728000
78,332,4000,7,5661,0.9794,0.0766,118.6,137,2000000,1750000,13700,3763700
79,332,4083,7,5578,0.9794,0.0752,120.4,139,2041500,1750000,13900,3805400
80,332,4199,7,5462,0.9794,0.0733,122.8,141,2099500,1750000,14100,3863600
81,332,4286,7,5375,0.9794,0.0719,124.6,143,2143000,1750000,14300,3907300
82,332,4361,7,5300,0.9794,0.0707,126.2,145,2180500,1750000,14500,3945000
83,332,4429,7,5232,0.9794,0.0697,127.6,146,2214500,1750000,14600,3979100
84,333,4567,6,5094,0.9823,0.068,130.5,150,2283500,1500000,15000,3798500
85,334,4648,5,5013,0.9853,0.067,132.1,151,2324000,1250000,15100,3589100
86,334,4725,5,4936,0.9853,0.066,133.8,153,2362500,1250000,15300,3627800
87,335,4839,4,4822,0.9882,0.0647,136.1,156,2419500,1000000,15600,3435100
88,335,4948,4,4713,0.9882,0.0634,138.4,158,2474000,1000000,15800,3489800
89,335,5049,4,4612,0.9882,0.0622,140.5,160,2524500,1000000,16000,3540500
90,336,5176,3,4485,0.9912,0.061,143.1,163,2588000,750000,16300,3354300
91,336,5279,3,4382,0.9912,0.0598,145.3,165,2639500,750000,16500,3406000
92,336,5369,3,4292,0.9912,0.0589,147.2,167,2684500,750000,16700,3451200
93,336,5459,3,4202,0.9912,0.058,149.0,169,2729500,750000,16900,3496400
94,336,5624,3,4037,0.9912,0.0564,152.5,173,2812000,750000,17300,3579300
95,336,5733,3,3928,0.9912,0.0554,154.8,175,2866500,750000,17500,3634000
96,336,5875,3,3786,0.9912,0.0541,157.7,179,2937500,750000,17900,3705400
97,336,5998,3,3663,0.9912,0.053,160.3,181,2999000,750000,18100,3767100
98,336,6150,3,3511,0.9912,0.0518,163.4,185,3075000,750000,18500,3843500
99,336,6268,3,3393,0.9912,0.0509,165.9,187,3134000,750000,18700,3902700
