threshold,precision,recall,avg_robots_down,pool_size,shortfall_prob,fp_cost_180d,fn_cost_180d,pool_cost_180d,chronic_cost_180d,total_cost_180d
52.0,0.11986430456087448,0.9380530973451328,55.22,87,2.9e-05,210150000,3240543,626400,1624800,215641743
53.0,0.11825572801182557,0.943952802359882,56.32,88,3.5e-05,214740000,3183499,633600,1659200,220216299
54.0,0.11580086580086581,0.9469026548672567,57.75,90,3.2e-05,220590000,3160728,648000,1720800,226119528
55.0,0.11314769122312301,0.9469026548672567,59.18,92,2.9e-05,226440000,3154737,662400,1769600,232026737
56.0,0.11042311661506708,0.9469026548672567,60.66,94,2.7e-05,232740000,3079944,676800,1816000,238312744
57.0,0.10793544048419637,0.9469026548672567,62.14,96,2.6e-05,238770000,3080599,691200,1886400,244428199
58.0,0.10583580613254204,0.9469026548672567,63.41,97,3.4e-05,244080000,3063658,698400,1948000,249790058
59.0,0.10405186385737439,0.9469026548672567,64.55,99,2.6e-05,248760000,3071713,712800,1992800,254537313
60.0,0.10180780209324453,0.9469026548672567,66.07,100,3.9e-05,254880000,3054182,720000,2066400,260720582
61.0,0.10081148564294631,0.9528023598820059,67.2,102,3e-05,259290000,2999872,734400,2096000,265120272
62.0,0.09966164257151645,0.9557522123893806,68.24,103,3.4e-05,263430000,3012466,741600,2152000,269336066
63.0,0.09821698398307646,0.9587020648967551,69.46,105,2.8e-05,268560000,2976039,756000,2196000,274488039
64.0,0.09587020648967552,0.9587020648967551,71.21,107,3e-05,275850000,2959022,770400,2276000,281855422
65.0,0.09401214926236622,0.9587020648967551,72.63,108,4.1e-05,281880000,2901232,777600,2335200,287894032
66.0,0.09263995453253765,0.9616519174041298,73.97,110,3.6e-05,287370000,2887935,792000,2406400,293456335
67.0,0.09088382434685936,0.9646017699115044,75.67,112,3.7e-05,294390000,2914258,806400,2504800,300615458
68.0,0.08981049162318044,0.9646017699115044,76.65,113,4e-05,298260000,2873486,813600,2560800,304507886
69.0,0.08872058425750609,0.967551622418879,77.84,115,3.2e-05,303210000,2899824,828000,2628000,309565824
70.0,0.08753315649867374,0.9734513274336283,79.39,117,3.1e-05,309600000,2838869,842400,2706400,315987669
71.0,0.08625196027182436,0.9734513274336283,80.59,118,3.7e-05,314640000,2860042,849600,2775200,321124842
72.0,0.08502440277421013,0.976401179941003,82.05,120,3.4e-05,320580000,2834405,864000,2856000,327134405
73.0,0.08366935483870967,0.9793510324483776,83.65,122,3.3e-05,327240000,2806940,878400,2914400,333839740
74.0,0.08189442525900345,0.9793510324483776,85.52,124,3.7e-05,334980000,2801229,892800,3025600,341699629
75.0,0.08054342552159147,0.9793510324483776,86.99,126,3.4e-05,341100000,2822421,907200,3086400,347916021
76.0,0.0794638583054093,0.9793510324483776,88.2,127,4.1e-05,346140000,2747127,914400,3155200,352956727
77.0,0.0779159821638113,0.9793510324483776,90.01,129,4.4e-05,353610000,2768225,928800,3257600,360564625
78.0,0.07663896583564174,0.9793510324483776,91.54,131,4.2e-05,360000000,2768544,943200,3337600,367049344
79.0,0.07519818799546998,0.9793510324483776,93.36,133,4.5e-05,367470000,2759375,957600,3448800,374635775
80.0,0.07327300816596778,0.9793510324483776,95.84,136,4.5e-05,377910000,2753243,979200,3614400,385256843
81.0,0.07189259419662192,0.9793510324483776,97.73,138,4.9e-05,385740000,2717554,993600,3721600,393172754
82.0,0.0707436607713616,0.9793510324483776,99.39,140,4.9e-05,392490000,2712914,1008000,3828800,400039714
83.0,0.0697332493173703,0.9793510324483776,100.87,142,4.5e-05,398610000,2694512,1022400,3907200,406234112
84.0,0.06795918367346938,0.9823008849557522,103.85,146,3.8e-05,411030000,2674905,1051200,4155200,418911305
85.0,0.06704134885588117,0.9852507374631269,105.62,148,4e-05,418320000,2646944,1065600,4311200,426343744
86.0,0.06602095275746195,0.9852507374631269,107.32,150,4e-05,425250000,2627480,1080000,4418400,433375880
87.0,0.06474681097796675,0.9882005899705014,109.85,153,4.1e-05,435510000,2635073,1101600,4653600,443900273
88.0,0.06341094075335983,0.9882005899705014,112.2,155,5.3e-05,445320000,2642144,1116000,4828000,453906144
89.0,0.06222139673105498,0.9882005899705014,114.42,158,4.7e-05,454410000,2642345,1137600,4990400,463180345
90.0,0.06095791001451379,0.9911504424778761,117.19,161,5.1e-05,465840000,2642845,1159200,5242400,474884445
91.0,0.05983971504897596,0.9911504424778761,119.51,164,4.7e-05,475110000,2653052,1180800,5456000,484399852
92.0,0.05889570552147239,0.9911504424778761,121.5,166,5.3e-05,483210000,2667623,1195200,5632800,492705623
93.0,0.05798101811906816,0.9911504424778761,123.51,169,4.3e-05,491310000,2654107,1216800,5844800,501025707
94.0,0.056375838926174496,0.9911504424778761,127.15,173,4.7e-05,506160000,2668048,1245600,6243200,516316848
95.0,0.05536332179930796,0.9911504424778761,129.6,176,4.5e-05,515970000,2677791,1267200,6524000,526438991
96.0,0.054097568829496054,0.9911504424778761,132.72,179,5.6e-05,528750000,2673382,1288800,6855200,539567382
97.0,0.05304704767919166,0.9911504424778761,135.45,182,5.9e-05,539820000,2677901,1310400,7210400,551018701
98.0,0.05180388529139685,0.9911504424778761,138.84,186,5.8e-05,553500000,2660760,1339200,7582400,565082360
99.0,0.050878255602665054,0.9911504424778761,141.54,189,6e-05,564120000,2664901,1360800,7914400,576060101
