UDI,Product ID,Type,air_temp,process_temp,rpm,torque,wear,failure,TWF,HDF,PWF,OSF,RNF,health_score,p_fail_composite,risk_OSF,risk_HDF,risk_PWF,risk_TWF,risk_RNF_baseline,osf_ratio_to_threshold,dominant_mode,dominant_mode_normalized_score
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.358,none,0.0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.376,none,0.0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,73.9,0.2606,0.242,0.023,0.0,0.0,0.001,0.621,OSF,0.242
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,29.1,0.7094,0.468,0.453,0.0,0.0,0.001,0.734,OSF/HDF,0.468
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,99.2,0.0077,0.0,0.0,0.0,0.007,0.001,0.433,TWF,0.017
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,57.5,0.4251,0.248,0.213,0.0,0.027,0.001,0.624,OSF/HDF,0.248
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,82.4,0.1757,0.113,0.01,0.0,0.06,0.001,0.557,TWF/OSF,0.15
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,0.0,1.0,1.0,0.4,1.0,0.073,0.001,1.141,OSF/PWF,1.0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,91.2,0.0876,0.0,0.0,0.0,0.087,0.001,0.363,TWF,0.217
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,25.6,0.7442,0.621,0.243,0.0,0.107,0.001,0.811,OSF,0.621
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,18.8,0.8117,0.598,0.467,0.0,0.12,0.001,0.799,OSF/HDF,0.598
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,63.0,0.3703,0.273,0.0,0.0,0.133,0.001,0.636,TWF/OSF,0.333
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,69.4,0.3063,0.186,0.0,0.0,0.147,0.001,0.593,TWF,0.367
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,11.2,0.8876,0.732,0.5,0.0,0.16,0.001,0.866,OSF,0.732
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,13.1,0.8691,0.794,0.23,0.0,0.173,0.001,0.897,OSF,0.794
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,26.7,0.733,0.562,0.25,0.0,0.187,0.001,0.781,OSF/TWF,0.562
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,55.9,0.4406,0.0,0.44,0.0,0.0,0.001,0.0,HDF,0.44
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,57.3,0.4272,0.0,0.427,0.0,0.0,0.001,0.007,HDF,0.427
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,69.7,0.3029,0.0,0.302,0.0,0.0,0.001,0.015,HDF,0.302
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,71.5,0.2852,0.0,0.284,0.0,0.0,0.001,0.039,HDF,0.284
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,72.5,0.2745,0.0,0.274,0.0,0.0,0.001,0.041,HDF,0.274
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,78.2,0.2177,0.0,0.217,0.0,0.0,0.001,0.047,HDF,0.217
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,61.5,0.3846,0.0,0.384,0.0,0.0,0.001,0.065,HDF,0.384
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.038,none,0.0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,66.5,0.3349,0.0,0.334,0.0,0.0,0.001,0.068,HDF,0.334
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.072,none,0.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,60.5,0.3953,0.0,0.395,0.0,0.0,0.001,0.102,HDF,0.395
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,84.6,0.1537,0.0,0.153,0.0,0.0,0.001,0.099,HDF,0.153
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.077,none,0.0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.079,none,0.0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.084,none,0.0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,69.7,0.3029,0.0,0.302,0.0,0.0,0.001,0.156,HDF,0.302
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.122,none,0.0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,46.6,0.5338,0.0,0.533,0.0,0.0,0.001,0.191,HDF,0.533
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.138,none,0.0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.125,none,0.0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,99.5,0.0048,0.0,0.004,0.0,0.0,0.001,0.158,none,0.004
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,97.4,0.0259,0.0,0.025,0.0,0.0,0.001,0.222,HDF,0.025
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.13,none,0.0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.111,none,0.0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.225,none,0.0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,68.3,0.3171,0.0,0.316,0.0,0.0,0.001,0.213,HDF,0.316
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,69.7,0.3029,0.0,0.302,0.0,0.0,0.001,0.26,HDF,0.302
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.192,none,0.0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,67.8,0.3218,0.0,0.321,0.0,0.0,0.001,0.309,HDF,0.321
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,88.2,0.1182,0.0,0.117,0.0,0.0,0.001,0.281,HDF,0.117
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.189,none,0.0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.248,none,0.0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.168,none,0.0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,88.2,0.118,0.0,0.117,0.0,0.0,0.001,0.281,HDF,0.117
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,87.8,0.1218,0.0,0.121,0.0,0.0,0.001,0.293,HDF,0.121
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,82.3,0.1768,0.0,0.176,0.0,0.0,0.001,0.321,HDF,0.176
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.254,none,0.0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,60.3,0.3966,0.0,0.396,0.0,0.0,0.001,0.403,HDF,0.396
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.307,none,0.0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.303,none,0.0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.241,none,0.0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,74.7,0.2527,0.0,0.252,0.0,0.0,0.001,0.392,HDF,0.252
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,61.1,0.3886,0.0,0.388,0.0,0.0,0.001,0.439,HDF,0.388
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.412,none,0.0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,38.7,0.6134,0.032,0.6,0.0,0.0,0.001,0.516,HDF,0.6
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.45,none,0.0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.31,none,0.0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.345,none,0.0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,22.6,0.7736,0.32,0.667,0.0,0.0,0.001,0.66,HDF,0.667
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,49.0,0.5104,0.031,0.494,0.0,0.0,0.001,0.516,HDF,0.494
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.435,none,0.0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.393,none,0.0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,74.6,0.2541,0.0,0.253,0.0,0.0,0.001,0.478,HDF,0.253
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.327,none,0.0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,62.4,0.3764,0.0,0.376,0.0,0.0,0.001,0.475,HDF,0.376
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,51.0,0.4898,0.116,0.422,0.0,0.0,0.001,0.558,HDF,0.422
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,22.3,0.7768,0.33,0.667,0.0,0.0,0.001,0.665,HDF,0.667
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.333,none,0.0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,55.6,0.4436,0.005,0.44,0.0,0.0,0.001,0.503,HDF,0.44
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,22.2,0.7784,0.488,0.567,0.0,0.0,0.001,0.744,HDF/OSF,0.567
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,58.1,0.4192,0.14,0.324,0.0,0.0,0.001,0.57,HDF,0.324
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,17.1,0.8292,0.573,0.6,0.0,0.0,0.001,0.786,HDF/OSF,0.6
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,89.5,0.1051,0.03,0.076,0.0,0.0,0.001,0.515,HDF/OSF,0.076
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,98.1,0.0186,0.018,0.0,0.0,0.0,0.001,0.509,OSF,0.018
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.378,none,0.0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,36.8,0.6316,0.274,0.492,0.0,0.0,0.001,0.637,HDF,0.492
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,35.7,0.6426,0.194,0.556,0.0,0.0,0.001,0.597,HDF,0.556
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,88.7,0.1126,0.051,0.064,0.0,0.0,0.001,0.525,HDF/OSF,0.064
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.483,none,0.0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,65.7,0.3428,0.305,0.053,0.0,0.0,0.001,0.653,OSF,0.305
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,25.6,0.7444,0.448,0.533,0.0,0.007,0.001,0.724,HDF/OSF,0.533
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,50.8,0.4925,0.335,0.215,0.0,0.027,0.001,0.667,OSF/HDF,0.335
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,31.6,0.6844,0.444,0.408,0.0,0.04,0.001,0.722,OSF/HDF,0.444
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,56.9,0.431,0.178,0.268,0.0,0.053,0.001,0.589,HDF/OSF,0.268
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,64.3,0.3568,0.305,0.0,0.0,0.073,0.001,0.653,OSF/TWF,0.305
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,90.6,0.0942,0.0,0.0,0.0,0.093,0.001,0.476,TWF,0.233
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,62.9,0.3715,0.29,0.008,0.0,0.107,0.001,0.645,OSF/TWF,0.29
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,87.9,0.1209,0.0,0.0,0.0,0.12,0.001,0.302,TWF,0.3
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,32.0,0.6802,0.556,0.148,0.0,0.153,0.001,0.778,OSF,0.556
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,40.6,0.5936,0.379,0.208,0.0,0.173,0.001,0.689,TWF/OSF,0.433
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,41.2,0.5881,0.407,0.124,0.0,0.207,0.001,0.703,TWF/OSF,0.517
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,10.1,0.8989,0.829,0.236,0.0,0.227,0.001,0.914,OSF,0.829
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,0.0,1.0,1.0,0.6,0.0,0.24,0.001,1.192,OSF,1.0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,0.0,1.0,1.0,0.472,0.0,0.253,0.001,1.036,OSF,1.0
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.0,none,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,75.1,0.2488,0.0,0.248,0.0,0.0,0.001,0.007,HDF,0.248
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,63.9,0.3606,0.0,0.36,0.0,0.0,0.001,0.018,HDF,0.36
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.019,none,0.0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.025,none,0.0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,72.7,0.2727,0.0,0.272,0.0,0.0,0.001,0.05,HDF,0.272
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,0.0,1.0,0.0,0.366,1.0,0.0,0.001,0.113,PWF,1.0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,43.3,0.5671,0.0,0.567,0.0,0.0,0.001,0.118,HDF,0.567
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.07,none,0.0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,74.2,0.2576,0.0,0.257,0.0,0.0,0.001,0.125,HDF,0.257
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.05,none,0.0
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.09,none,0.0
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,43.3,0.5671,0.0,0.567,0.0,0.0,0.001,0.185,HDF,0.567
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,44.0,0.5596,0.0,0.559,0.0,0.0,0.001,0.146,HDF,0.559
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,99.9,0.001,0.0,0.0,0.0,0.0,0.001,0.123,none,0.0
