threshold,TP,FP,FN,avg_down,best_pool_size,shortfall_prob_at_best_pool,fp_cost,fn_cost_at_best_pool,pool_cost_at_best_pool,total_cost
74,332,3722,7,112.9,155,0.0001,1861000,10816,15500,1887316
75,332,3790,7,114.3,157,0.0001,1895000,10783,15700,1921483
76,332,3846,7,115.4,158,0.0001,1923000,10821,15800,1949621
77,332,3929,7,117.2,160,0.0001,1964500,10825,16000,1991325
78,332,4000,7,118.6,162,0.0001,2000000,10798,16200,2026998
79,332,4083,7,120.4,164,0.0001,2041500,10801,16400,2068701
80,332,4199,7,122.8,167,0.0001,2099500,10785,16700,2126985
81,332,4286,7,124.6,169,0.0001,2143000,10797,16900,2170697
82,332,4361,7,126.2,171,0.0001,2180500,10781,17100,2208381
83,332,4429,7,127.6,172,0.0001,2214500,10847,17200,2242547
84,333,4567,6,130.5,175,0.0001,2283500,9333,17500,2310333
85,334,4648,5,132.1,177,0.0001,2324000,7775,17700,2349475
86,334,4725,5,133.8,178,0.0001,2362500,7860,17800,2388160
87,335,4839,4,136.1,180,0.0001,2419500,6362,18000,2443862
88,335,4948,4,138.4,183,0.0001,2474000,6323,18300,2498623
89,335,5049,4,140.5,185,0.0001,2524500,6367,18500,2549367
90,336,5176,3,143.1,187,0.0002,2588000,4874,18700,2611574
91,336,5279,3,145.3,190,0.0002,2639500,4821,19000,2663321
92,336,5369,3,147.2,192,0.0002,2684500,4835,19200,2708535
93,336,5459,3,149.0,194,0.0002,2729500,4850,19400,2753750
94,336,5624,3,152.5,198,0.0002,2812000,4844,19800,2836644
95,336,5733,3,154.8,200,0.0002,2866500,4906,20000,2891406
96,336,5875,3,157.7,204,0.0002,2937500,4842,20400,2962742
97,336,5998,3,160.3,207,0.0002,2999000,4835,20700,3024535
98,336,6150,3,163.4,210,0.0002,3075000,4896,21000,3100896
99,336,6268,3,165.9,213,0.0002,3134000,4875,21300,3160175
